('dca', 3, 0, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('dca', 3, 4, False, '192.168.100.11') {('bad', 8948): 29, ('bad', 2652): 1}
('dca', 5, 0, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('dca', 5, 4, False, '192.168.100.11') {('bad', 8948): 29, ('bad', 2652): 1}
('dcb', 3, 4, False, '192.168.100.20') {('bad', 8948): 29, ('bad', 2652): 1}
('dcb', 4, 0, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('dcb', 5, 0, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('dcb', 5, 4, False, '192.168.100.20') {('bad', 8948): 29, ('bad', 2652): 1}
('eve', 5, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 6, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 7, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 8, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 13, 3, False, '192.168.100.11') {('bad', 8948): 29, ('bad', 2652): 1}
('eve', 13, 4, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 17, 3, False, '192.168.100.20') {('bad', 8948): 29, ('bad', 2652): 1}
('eve', 18, 4, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 88, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 97, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 99, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 108, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 110, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 111, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 114, 3, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 114, 4, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 143, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 152, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 155, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 163, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 165, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 168, 4, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('eve', 177, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('eve', 179, 3, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 263, 3, False, '192.168.100.11') {('bad', 8948): 29, ('bad', 2652): 1}
('pve', 263, 4, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 269, 3, False, '192.168.100.20') {('bad', 8948): 29, ('bad', 2652): 1}
('pve', 270, 4, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 291, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 293, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 295, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 296, 4, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 297, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 298, 3, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 300, 3, True, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 302, 4, True, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
('pve', 312, 3, False, '192.168.100.20') {('good', 8948): 29, ('good', 2652): 1}
('pve', 312, 4, False, '192.168.100.11') {('bad', 8948): 29, ('bad', 2652): 1}
('pve', 320, 4, False, '192.168.100.20') {('bad', 8948): 29, ('bad', 2652): 1}
('pve', 325, 3, False, '192.168.100.11') {('good', 8948): 29, ('good', 2652): 1}
